people,img_id,Layer,X,Y,GrayValue
shn,frame_006386,4,111,278,244.5
shn,frame_006386,5,111,278,193.44
shn,frame_006386,6,111,278,98.05
shn,frame_006386,7,111,278,129.39
shn,frame_006386,8,111,278,247.17
shn,frame_006386,9,111,278,190.85
shn,frame_006386,10,111,278,100.21
shn,frame_006386,11,111,278,123.94
shn,frame_006386,12,111,278,249.4
shn,frame_006386,13,111,278,210.85
shn,frame_006386,14,111,278,103.03
shn,frame_006386,15,111,278,130.13
shn,frame_006388,0,111,276,248.71
shn,frame_006388,1,111,276,240.63
shn,frame_006388,2,111,276,117.39
shn,frame_006388,3,111,276,149.87
shn,frame_006388,4,111,276,248.6
shn,frame_006388,5,111,276,213.11
shn,frame_006388,6,111,276,108.61
shn,frame_006388,7,111,276,139.18
shn,frame_006388,8,111,276,248.76
shn,frame_006388,9,111,276,212.82
shn,frame_006388,10,111,276,110.27
shn,frame_006388,11,111,276,136.28
shn,frame_006388,12,111,276,248.8
shn,frame_006388,13,111,276,232.91
shn,frame_006388,14,111,276,116.05
shn,frame_006388,15,111,276,142.93
shn,frame_006393,0,112,278,248.69
shn,frame_006393,1,112,278,230.21
shn,frame_006393,2,112,278,112.94
shn,frame_006393,3,112,278,150.86
shn,frame_006393,4,112,278,246.89
shn,frame_006393,5,112,278,201.28
shn,frame_006393,6,112,278,103.96
shn,frame_006393,7,112,278,135.87
shn,frame_006393,8,112,278,249.03
shn,frame_006393,9,112,278,198.88
shn,frame_006393,10,112,278,106.27
shn,frame_006393,11,112,278,130.6
shn,frame_006393,12,112,278,249.57
shn,frame_006393,13,112,278,218.01
shn,frame_006393,14,112,278,108.65
shn,frame_006393,15,112,278,136.4
shn,frame_006398,0,112,276,249.21
shn,frame_006398,1,112,276,243.66
shn,frame_006398,2,112,276,122.97
shn,frame_006398,3,112,276,151.79
shn,frame_006398,4,112,276,249.29
shn,frame_006398,5,112,276,217.13
shn,frame_006398,6,112,276,113.65
shn,frame_006398,7,112,276,142.21
shn,frame_006398,8,112,276,250.03
shn,frame_006398,9,112,276,216.59
shn,frame_006398,10,112,276,115.43
shn,frame_006398,11,112,276,141.14
shn,frame_006398,12,112,276,247.09
shn,frame_006398,13,112,276,237.11
shn,frame_006398,14,112,276,120.6
shn,frame_006398,15,112,276,147.46
shn,frame_006401,0,110,276,247.42
shn,frame_006401,1,110,276,234.9
shn,frame_006401,2,110,276,114.12
shn,frame_006401,3,110,276,142.8
shn,frame_006401,4,110,276,247.03
shn,frame_006401,5,110,276,206.39
shn,frame_006401,6,110,276,104.57
shn,frame_006401,7,110,276,131.55
shn,frame_006401,8,110,276,249.46
shn,frame_006401,9,110,276,204.93
shn,frame_006401,10,110,276,105.72
shn,frame_006401,11,110,276,129.38
shn,frame_006401,12,110,276,247.66
shn,frame_006401,13,110,276,225.78
shn,frame_006401,14,110,276,111.78
shn,frame_006401,15,110,276,135.97
shn,frame_006404,0,110,277,246.74
shn,frame_006404,1,110,277,226.71
shn,frame_006404,2,110,277,109.24
shn,frame_006404,3,110,277,140.71
shn,frame_006404,4,110,277,244.77
shn,frame_006404,5,110,277,196.52
shn,frame_006404,6,110,277,99.8
shn,frame_006404,7,110,277,126.82
shn,frame_006404,8,110,277,247.63
shn,frame_006404,9,110,277,194.26
shn,frame_006404,10,110,277,100.58
shn,frame_006404,11,110,277,123.48
shn,frame_006404,12,110,277,247.39
shn,frame_006404,13,110,277,213.57
shn,frame_006404,14,110,277,106.08
shn,frame_006404,15,110,277,130.16
shn,frame_006441,0,112,276,249.26
shn,frame_006441,1,112,276,243.55
shn,frame_006441,2,112,276,120.45
shn,frame_006441,3,112,276,151.32
shn,frame_006441,4,112,276,248.54
shn,frame_006441,5,112,276,217.12
shn,frame_006441,6,112,276,112.01
shn,frame_006441,7,112,276,141.11
shn,frame_006441,8,112,276,249.65
shn,frame_006441,9,112,276,217.12
shn,frame_006441,10,112,276,114.34
shn,frame_006441,11,112,276,139.95
shn,frame_006441,12,112,276,248.31
shn,frame_006441,13,112,276,237.83
shn,frame_006441,14,112,276,119.71
shn,frame_006441,15,112,276,147.27
shn,frame_006449,0,110,276,248.21
shn,frame_006449,1,110,276,234.29
shn,frame_006449,2,110,276,112.19
shn,frame_006449,3,110,276,141.58
shn,frame_006449,4,110,276,247.79
shn,frame_006449,5,110,276,205.83
shn,frame_006449,6,110,276,104.02
shn,frame_006449,7,110,276,130.73
shn,frame_006449,8,110,276,248.61
shn,frame_006449,9,110,276,203.31
shn,frame_006449,10,110,276,104.9
shn,frame_006449,11,110,276,128.18
shn,frame_006449,12,110,276,247.65
shn,frame_006449,13,110,276,224.91
shn,frame_006449,14,110,276,110.9
shn,frame_006449,15,110,276,134.99
shn,frame_006483,0,111,276,245.93
shn,frame_006483,1,111,276,232.64
shn,frame_006483,2,111,276,108.81
shn,frame_006483,3,111,276,138.19
shn,frame_006483,4,111,276,246.32
shn,frame_006483,5,111,276,200.2
shn,frame_006483,6,111,276,99.01
shn,frame_006483,7,111,276,127.63
shn,frame_006483,8,111,276,247.32
shn,frame_006483,9,111,276,198.0
shn,frame_006483,10,111,276,99.86
shn,frame_006483,11,111,276,126.31
shn,frame_006483,12,111,276,246.91
shn,frame_006483,13,111,276,222.87
shn,frame_006483,14,111,276,107.54
shn,frame_006483,15,111,276,133.47
shn,frame_006510,0,112,276,247.94
shn,frame_006510,1,112,276,238.34
shn,frame_006510,2,112,276,112.04
shn,frame_006510,3,112,276,141.44
shn,frame_006510,4,112,276,248.23
shn,frame_006510,5,112,276,205.88
shn,frame_006510,6,112,276,102.29
shn,frame_006510,7,112,276,132.22
shn,frame_006510,8,112,276,247.86
shn,frame_006510,9,112,276,203.75
shn,frame_006510,10,112,276,103.74
shn,frame_006510,11,112,276,130.08
shn,frame_006510,12,112,276,248.0
shn,frame_006510,13,112,276,229.58
shn,frame_006510,14,112,276,110.66
shn,frame_006510,15,112,276,138.62
shn,frame_006519,0,112,276,247.75
shn,frame_006519,1,112,276,238.4
shn,frame_006519,2,112,276,111.33
shn,frame_006519,3,112,276,144.74
shn,frame_006519,4,112,276,247.85
shn,frame_006519,5,112,276,204.16
shn,frame_006519,6,112,276,100.79
shn,frame_006519,7,112,276,132.96
shn,frame_006519,8,112,276,248.74
shn,frame_006519,9,112,276,203.38
shn,frame_006519,10,112,276,103.49
shn,frame_006519,11,112,276,131.48
shn,frame_006519,12,112,276,247.66
shn,frame_006519,13,112,276,228.76
shn,frame_006519,14,112,276,110.09
shn,frame_006519,15,112,276,139.12
shn,frame_006541,0,111,276,248.27
shn,frame_006541,1,111,276,238.59
shn,frame_006541,2,111,276,113.57
shn,frame_006541,3,111,276,143.9
shn,frame_006541,4,111,276,248.54
shn,frame_006541,5,111,276,210.71
shn,frame_006541,6,111,276,106.43
shn,frame_006541,7,111,276,135.39
shn,frame_006541,8,111,276,249.42
shn,frame_006541,9,111,276,208.34
shn,frame_006541,10,111,276,108.88
shn,frame_006541,11,111,276,134.35
shn,frame_006541,12,111,276,248.38
shn,frame_006541,13,111,276,230.17
shn,frame_006541,14,111,276,114.22
shn,frame_006541,15,111,276,139.91
shn,frame_006545,0,112,278,247.61
shn,frame_006545,1,112,278,227.67
shn,frame_006545,2,112,278,109.8
shn,frame_006545,3,112,278,147.6
shn,frame_006545,4,112,278,246.23
shn,frame_006545,5,112,278,198.79
shn,frame_006545,6,112,278,102.73
shn,frame_006545,7,112,278,133.39
shn,frame_006545,8,112,278,248.45
shn,frame_006545,9,112,278,195.48
shn,frame_006545,10,112,278,104.19
shn,frame_006545,11,112,278,129.89
shn,frame_006545,12,112,278,247.9
shn,frame_006545,13,112,278,214.56
shn,frame_006545,14,112,278,106.44
shn,frame_006545,15,112,278,135.54
shn,frame_006546,0,111,278,245.43
shn,frame_006546,1,111,278,220.57
shn,frame_006546,2,111,278,104.45
shn,frame_006546,3,111,278,141.39
shn,frame_006546,4,111,278,243.36
shn,frame_006546,5,111,278,189.78
shn,frame_006546,6,111,278,97.16
